ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
44335,"Functional Nutrition Indor Корм для домашних кошек старше 1 года, с курицей и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Mealfeel_suhoy_korm_dlya_koshek_Indoor_kuritsey_i_indeykoy.html,1649,825,Mealfeel
44339,"Adult Сухой корм для взрослых кошек, с курицей, 8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Wellkiss_suhoy_korm_dlya_koshek_Senior_s_yagnenkom.html,4999,2500,Wellkiss
44341,"Sterilized Сухой корм для стерилизованных кошек, с ягненком, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-sukhoy-dlya-sterilizovannykh-koshek-s-yagnenkom-8-kg.html,2249,1125,Wellkiss
148192,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-priveredlivyh-koshek-s-indeykoy.html,3899,2924,Wellkiss
44160,"Kitten Сухой корм для котят, с курицей, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Wellkiss_korm_suhoy_korm_dlya_kotyat_kuritsey.html,419,210,Wellkiss
110849,"Sterilized Корм сухой для стерилизованных кошек, с тунцом, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom.html,1199,899,Wellkiss
138270,"Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 4 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-sterilizovannyh-koshek-s-kuricey.html,2169,2169,Ownat
124629,"Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-sterilizovannyh-koshek-bezzernovoy-s-kuricey.html,2745,2745,Ownat
148185,"Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-steril-s-yagnenkom.html,3899,2924,Wellkiss
45708,"Sterilised 37 сухой корм для стерилизованных кошек с 1 до 7 лет, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sterilised_37_suhoy_korm_dlya_sterilizovannyh_koshek.html,2419,2419,Royal Canin
112529,"Сухой корм для стерилизованных кошек, четыре вида мяса, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-chetyre-vida-myasa-s-burym-risom-400g.html,2569,2569,Grandorf
119901,"N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-neutered-chicken-pomegranate-adult-300g.html,2725,2725,Farmina
117421,"Adult Sterilized Ultra Сухой корм для стерилизованных кошек, с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-sterilizovannyh-koshek-s-indeykoy.html,1695,1695,Ownat
148712,"Корм сухой для стерилизованных кошек, с лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-lososem.html,1499,1499,Mealfeel
81095,"Sterilised корм для стерилизованных кошек с пониженным содержанием калорий, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-sterilised-korm-dlya-sterilizovannyh-koshek-1-5-kg.html,1699,1699,Monge
124631,"Adult Grain Free Сухой корм для взрослых кошек, с курицей и индейкой, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/gf-prime-korm-suhoy-dlya-vzroslyh-koshek-s-kuricey-i-indeykoy.html,1245,1245,Ownat
148720,"Корм сухой для стерилизованных кошек, с ягненком, 7,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom1.html,6799,6799,Mealfeel
77326,"Sterilised 7+ корм для стерилизованных кошек старше 7 лет, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-royal-kanin-sterilayzd-7-pak-400-g.html,1819,1819,Royal Canin
81113,"Monoprotein Sterilised корм для стерилизованных кошек, с уткой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-monoprotein-sterilized-duck-korm-dlya-sterilizovannyh-koshek-s-u.html,1815,1815,Monge
113385,"Adult Sterilized Grain Free Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-gf-prime-dlya-sterilizovannyh-koshek-1-kg.html,1315,1315,Ownat
112517,"Сухой корм для домашних кошек, ягненок с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-yagnenok-s-risom-400g.html,2365,2365,Grandorf
43214,"Delicate сухой корм для взрослых кошек при чувствительном пищеварении с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Delicate_suhoy_korm_dlya_koshek_s_chuvstvitelnym_pishchevareniem_indeykaris.html,1755,1492,Pro Plan ®
120008,"Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-gastro-intestinal-400-gr.html,3045,3045,Farmina
119896,"N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-lamb-blueberry-adult-300g.html,2725,2725,Farmina
41891,"Sterilised Сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации, с кроликом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_kuritsakrolik.html,1755,1492,Pro Plan ®
